Started at Tue Dec 12 18:15:08 CET 2017
Step 0: r = 6.95508E8 m, p = 0.0Pa, L = 3.826E33 W, T = 5778.0 K 
Step 1: r = 6.954732246E8 m, p = 2.688108476247308E10Pa, L = 3.825995886858982E33 W, T = 2.6881084763155598E10 K 
Step 2: r = 6.954384492E8 m, p = 5.376082545390715E10Pa, L = 3.8259917741292733E33 W, T = 5.376082545390715E10 K 
Step 3: r = 6.954036738000001E8 m, p = 8.063922207430222E10Pa, L = 3.8259876618108527E33 W, T = 8.063922207430222E10 K 
Step 4: r = 6.953688984000001E8 m, p = 1.0751627462365825E11Pa, L = 3.8259835499037E33 W, T = 1.0751627462365825E11 K 
Step 5: r = 6.953341230000001E8 m, p = 1.3439198310197528E11Pa, L = 3.825979438407794E33 W, T = 1.3439198310197528E11 K 
Step 6: r = 6.952993476000001E8 m, p = 1.612663475092533E11Pa, L = 3.8259753273231154E33 W, T = 1.612663475092533E11 K 
Step 7: r = 6.952645722000002E8 m, p = 1.881393678454923E11Pa, L = 3.825971216649643E33 W, T = 1.881393678454923E11 K 
Step 8: r = 6.952297968000002E8 m, p = 2.1501104411069232E11Pa, L = 3.8259671063873556E33 W, T = 2.1501104411069232E11 K 
Step 9: r = 6.951950214000002E8 m, p = 2.4188137630485333E11Pa, L = 3.825962996536233E33 W, T = 2.4188137630485333E11 K 
Step 10: r = 6.951602460000002E8 m, p = 2.687503644279753E11Pa, L = 3.8259588870962556E33 W, T = 2.687503644279753E11 K 
Step 11: r = 6.951254706000003E8 m, p = 2.956180084800583E11Pa, L = 3.825954778067402E33 W, T = 2.956180084800583E11 K 
Step 12: r = 6.950906952000003E8 m, p = 3.2248430846110223E11Pa, L = 3.825950669449651E33 W, T = 3.2248430846110223E11 K 
Step 13: r = 6.950559198000003E8 m, p = 3.493492643711072E11Pa, L = 3.825946561242983E33 W, T = 3.493492643711072E11 K 
Step 14: r = 6.950211444000003E8 m, p = 3.762128762100731E11Pa, L = 3.825942453447378E33 W, T = 3.762128762100731E11 K 
Step 15: r = 6.949863690000004E8 m, p = 4.03075143978E11Pa, L = 3.825938346062814E33 W, T = 4.03075143978E11 K 
Step 16: r = 6.949515936000004E8 m, p = 4.2993606767488794E11Pa, L = 3.825934239089271E33 W, T = 4.2993606767488794E11 K 
Step 17: r = 6.949168182000004E8 m, p = 4.567956473007368E11Pa, L = 3.8259301325267287E33 W, T = 4.567956473007368E11 K 
Step 18: r = 6.948820428000004E8 m, p = 4.8365388285554675E11Pa, L = 3.8259260263751664E33 W, T = 4.8365388285554675E11 K 
Step 19: r = 6.948472674000005E8 m, p = 5.105107743393176E11Pa, L = 3.8259219206345636E33 W, T = 5.105107743393176E11 K 
Step 20: r = 6.948124920000005E8 m, p = 5.373663217520495E11Pa, L = 3.8259178153048994E33 W, T = 5.373663217520495E11 K 
Step 21: r = 6.947777166000005E8 m, p = 5.642205250937423E11Pa, L = 3.825913710386153E33 W, T = 5.642205250937423E11 K 
Step 22: r = 6.947429412000005E8 m, p = 5.910733843643961E11Pa, L = 3.825909605878304E33 W, T = 5.910733843643961E11 K 
Step 23: r = 6.947081658000005E8 m, p = 6.179248995640109E11Pa, L = 3.825905501781333E33 W, T = 6.179248995640109E11 K 
Step 24: r = 6.946733904000006E8 m, p = 6.447750706925868E11Pa, L = 3.8259013980952177E33 W, T = 6.447750706925868E11 K 
Step 25: r = 6.946386150000006E8 m, p = 6.716238977501237E11Pa, L = 3.8258972948199386E33 W, T = 6.716238977501237E11 K 
Step 26: r = 6.946038396000006E8 m, p = 6.984713807366215E11Pa, L = 3.825893191955475E33 W, T = 6.984713807366215E11 K 
Step 27: r = 6.945690642000006E8 m, p = 7.253175196520802E11Pa, L = 3.8258890895018057E33 W, T = 7.253175196520802E11 K 
